category,text
ham,"Иди до точки Джуронг, сумасшедший.. Доступно только в Bugis n Great World La E шведском столе... Кино там получило больше, что..."
ham,"ок, Лар... Шучу с тобой, они..."
spam,"бесплатный вход в 2-недельные соревнования для победы в финале Кубка Англии 21 мая 2005 года. Отправьте сообщение FA на номер 87121, чтобы получить вступительный вопрос (стандартная ставка txt). Условия и положения применяются 08452810075over18."
ham,"Не можешь сказать, что так рано, час... Ты можешь уже тогда сказать..."
ham,"Нет, я не думаю, что он едет в США, хотя он живет где-то здесь"
spam,"FreeMsg Привет, дорогая, прошло уже 3 недели, а ответа нет! Мне бы хотелось, чтобы ты еще немного развлекся? Хорошо! XxX стандартных платежей для отправки, 1,50 фунта стерлингов на возврат"
ham,"Даже мой брат не любит со мной разговаривать. Они относятся ко мне как к патенту на СПИД."
ham,"по вашему запросу Melle Melle (Oru Minnaminunginte Nurungu Vettam) была установлена ​​в качестве мелодии звонка для всех абонентов. Нажмите *9, чтобы скопировать Callertune своих друзей"
spam,"ПОБЕДИТЕЛЬ!! Как ценный клиент сети, вы были выбраны для получения призового вознаграждения в размере 900 фунтов стерлингов! Чтобы подать заявку, позвоните по телефону 09061701461. Код претензии KL341. Действует только 12 часов."
spam,"Ваш мобильный проработал 11 месяцев и более? Вы имеете право на бесплатное обновление новейших цветных мобильных телефонов с камерой! Позвоните в Mobile Update Co БЕСПЛАТНО по номеру 08002986030."
ham,"Я скоро буду дома, и я не хочу больше говорить об этом сегодня вечером, ок? Я сегодня достаточно плакал."
spam,"ШЕСТЬ шансов выиграть НАЛИЧНЫЕ! От 100 до 20 000 фунтов. Отправьте сообщение по CSH11 и отправьте на номер 87575. Стоимость 150 пенсов в день, 6 дней, 16+ TsandC подают заявку Ответить HL 4 info"
spam,"СРОЧНО! Вы выиграли 1 неделю БЕСПЛАТНОГО членства в нашем призовом джекпоте в размере 100 000 фунтов стерлингов! Отправьте сообщение: CLAIM на номер: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
ham,"я искал подходящие слова, чтобы поблагодарить тебя за эту передышку. Обещаю, что не приму вашу помощь как должное и выполню свое обещание. Ты всегда был замечательным и благословенным человеком."
ham,"У МЕНЯ СВИДАНИЕ С УИЛЛОМ В ВОСКРЕСЕНЬЕ!!"
spam,"XXXMobileMovieClub: Чтобы использовать свой кредит, щелкните ссылку WAP в следующем текстовом сообщении или щелкните здесь >> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
ham,"Ой...я тут смотрю:)"
ham,"А ты помнишь, как пишется его имя... Да, я помню. Он шалит, пока я не промокну."
ham,"Прекрасно, если ты так чувствуешь. Вот так оно и должно быть."
spam,"Англия против Македонии — не пропустите голы/новости команды. Отправьте сообщение о своей национальной сборной на номер 87077, например, АНГЛИЯ на номер 87077. Попробуйте: УЭЛЬС, ШОТЛАНДИЯ 4txt/ú1.20 POBOXox36504W45WQ 16+"
ham,"ты серьёзно так пишешь его имя?"
ham,"я попробую 2 месяца хаха шучу"
ham,"Итак, сначала заплати лар... Потом, когда поступят акции..."
ham,"После того, как я закончу обед, я пойду вниз по улице. Ард 3 что-л. лор. Ты уже закончил обед?"
ham,"Ффффффффффф. Хорошо, я не смогу встретиться с тобой раньше?"
ham,"Просто заставил себя съесть кусочек. Хотя я действительно не голоден. Это отстой. Марк начинает волноваться. Он знает, что меня тошнит, когда я отказываюсь от пиццы. Ржу не могу"
ham,"лол, ты всегда такой убедительный."
ham,"ты успел на автобус? Ты жаришь яйцо? Ты заварила чай? Ты доедаешь остатки маминого ужина? Ты чувствуешь мою Любовь?"
ham,"Я вернулся, мы сейчас пакуем машину, я вам сообщу, если останется место"
ham,"Ааа. Работа. Я это смутно помню! На что это похоже? Ржу не могу"
ham,"Подожди, это еще не все так ясно, ты не уверен, что я саркастичен или именно поэтому x не хочет с нами жить"
ham,"Да, он пришел в 2 и извинялся. Он поссорился, и она вела себя как избалованный ребенок, и он втянулся в это. До 2! Но мы не пойдем туда! Не так уж и плохо, ура. Ты?"
ham,"К расскажи мне что-нибудь о себе."
ham,"Из-за боязни упасть в обморок от всей той работы по дому, которую ты только что сделал? Быстро выпейте чашку чаю"
spam,"Спасибо за подписку на Ringtone UK, с вашего мобильного телефона будет взиматься плата в размере 5 фунтов стерлингов в месяц. Пожалуйста, подтвердите, ответив ДА или НЕТ. Если вы ответите НЕТ, с вас не будет взиматься плата."
ham,"Ага... Хорошо, я пойду домой, посмотрю расписание, потом снова отправлю сообщение... Сюйхуэй тоже собирается учиться 2 мая, но ее урок в 8 утра."
ham,"Ой, я дам тебе знать, когда мой сосед по комнате закончит"
ham,"я вижу букву Б на своей машине."
ham,"Что-нибудь лор... Решайте сами..."
ham,"Здравствуйте! Как дела и как прошла суббота? Я просто писал сообщение, чтобы узнать, решил ли ты сделать что-нибудь тоже. Не то чтобы я пытался пригласить себя или что-то в этом роде!"
ham,"пожалуйста, укажите ватты. Я просто хотел убедиться. Желаю вам хороших выходных. Абиола"
ham,"Я забыл тебе сказать? Я хочу тебя, ты мне нужен, я жажду тебя... Но больше всего... я люблю тебя, мой милый арабский конек... Мммммм... Вкусно"
spam,"07732584351 — Роджер Бернс — MSG = Мы пытались позвонить вам, чтобы получить ответ на наше SMS-сообщение с просьбой о бесплатном мобильном телефоне Nokia + бесплатной видеокамере. Пожалуйста, позвоните сейчас 08000930705 для доставки завтра."
ham,"С КОГО ТЫ ВИДИШЬСЯ?"
ham,"Отлично! Надеюсь, тебе понравится твой хорошо обеспеченный мужчина. Я &lt;#&gt; дюймы..."
ham,"Нет звонков..сообщений..пропущенных звонков"
ham,"Разве вы не получили прививку от гепатита В в Нигерии?"
ham,"Честно, что-нибудь происходит?"
ham,"Да, надеюсь, если Тайлер не сможет этого сделать, я мог бы немного поспрашивать"
ham,"Ты не знаешь, какой я упрямый. я даже не хотел идти в больницу. Я продолжал говорить Марку, что я не слабый лох. Больницы для слабаков."
ham,"Что ты обо мне подумал. Впервые ты увидел меня в классе."
ham,"Грамм обычно равен &lt;#&gt; , хотя половина восьмой более разумна и дает вам почти целый второй грамм за &lt;#&gt;"
ham,"к вашему сведению, завтра рано утром он едет, но сегодня вечером он ночует у нас дома."
ham," Ух ты. Я никогда не осознавал, что тебя так смущает твое жилье. Я думал, тебе оно нравится, потому что я старался изо всех сил, а ты всегда казался таким счастливым из-за пещеры. Мне жаль, что я Мне нечего было больше дать, мне жаль, что я предложил. Мне жаль, что твоя комната была такой неловкой."
spam,"СМС. ac Sptv: Нью-Джерси Девилз и Детройт Ред Уингз играют в хоккей. Правильно или неправильно? Конец? Ответить КОНЕЦ SPTV"
ham,"Знаешь, что сделала вчера Маллика Шерават? Узнайте прямо сейчас @ &lt;URL&gt;"
spam,"Поздравляем! Специальный абонемент в кино на 1 год для двоих ваш. Звоните по номеру 09061209465 прямо сейчас! C Suprman V, Matrix3, StarWars3 и т. д. — все 4 БЕСПЛАТНО! bx420-ip4-5we. 150 вечера. Не пропустите!"
ham,"Извините, я позвоню позже на встрече."
ham,"Расскажи куда дошёл"
ham,"да..гаути и сехваг из серии оди."
ham,"По дороге домой тебе придется купить себе гамбургер за 1 доллар. Я даже не могу пошевелиться. Боль убивает меня."
ham,"Ха-ха-ха хорошая шутка. Девочки – искатели ситуаций."
ham,"Это часть проверки IQ."
ham,"Извини, мои соседи по комнате заняли целую вечность, ничего, если я приду сейчас?"
ham,"Хорошо, я уже перепроверю у парикмахера, он сказал, что подстрижусь коротко. Он сказал, что будет стричься, пока я не буду хорошо выглядеть."
spam,"Как уважаемый клиент, я рад сообщить вам, что после недавней проверки вашего мобильного номера вы получили бонусный приз в размере 1500 фунтов стерлингов, позвоните по номеру 09066364589"
ham,"Сегодня 'день, посвящённый песне...' Какую песню ты посвятишь мне? Отправь это всем своим ценным друзьям, но сначала ответь мне..."
spam,"Срочно UR получила бесплатную поездку в EuroDisinc Trav, Aco&Entry41 или 1000 фунтов стерлингов. Чтобы подать заявку на текстовое сообщение DIS на номер 87121 18+6*1,50 фунтов стерлингов (подробнееFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
spam,"Вы слышали о новой Барби о разводе? В ней есть все вещи Кена!"
ham,"планирую подарить в конце этого месяца."
ham,"Вау, счастливчик... Тогда можно сэкономить... Хи..."
ham,"Закончился урок, где ты?"
ham,"ПРИВЕТ, ДЕТКА, Я СЕЙЧАС ДОМА, ХОЧУ ЧТО-ТО СДЕЛАТЬ? ХХ"
ham,"к..к:)ты где?как выступил?"
ham,"ты можешь позвонить мне сейчас..."
ham,"жду мачан. Позвони мне, как освободишься."
ham,"это круто. Я джентльмен и буду относиться к вам с достоинством и уважением."
ham,"вы мне очень нравитесь :) но я очень застенчивый па."
ham,"Не работает после &lt;#&gt; или что"
ham,"Здесь не то. Все еще ищу работу. Сколько Та там зарабатывает."
ham,"Извини, я позвоню позже"
ham,"К. Ты мне только что звонил, а?"
ham,"окей, я еду домой, привет-привет"
ham,"Ты будешь на месте того человека"
ham,"Да, следующая остановка."
ham,"Я позвоню тебе позже, сети нет. Если срочно, отправь смс."
